,time,open,high,low,close,volume
0,2020-04-27 05:00:00,108.325771089,108.325771089,108.325771089,108.325771089,344
1,2020-04-27 08:00:00,108.153112863,108.714252098,108.153112863,108.714252098,2625
2,2020-04-27 09:00:00,108.774682477,109.525745761,108.774682477,109.033669816,8240
3,2020-04-27 10:00:00,108.774682477,109.577543229,108.317138178,109.180429309,760734
4,2020-04-27 11:00:00,109.18906222,109.504163483,108.627922985,109.094790828,595594
5,2020-04-27 12:00:00,109.085467284,109.378986269,108.869644501,109.141581208,572892
6,2020-04-27 13:00:00,109.137264752,109.146501967,108.481163493,108.835112856,522860
7,2020-04-27 14:00:00,108.826479945,108.981872348,108.584758428,108.925758425,493618
8,2020-04-27 15:00:00,108.930074881,109.232226776,108.748783743,109.05956855,413775
9,2020-04-27 16:00:00,109.063885006,109.629340697,108.636555896,108.653821719,1111909
10,2020-04-27 17:00:00,108.705619187,109.197695131,108.515695138,108.610657162,102929
11,2020-04-27 18:00:00,108.774682477,108.774682477,108.774682477,108.774682477,629
12,2020-04-27 19:00:00,108.774682477,108.774682477,108.515695138,108.515695138,2912
13,2020-04-27 20:00:00,108.455264759,108.472530581,108.455264759,108.472530581,209
14,2020-04-28 06:00:00,109.292657156,109.292657156,109.292657156,109.292657156,600
15,2020-04-28 07:00:00,109.896960947,109.896960947,109.888328036,109.888328036,702
16,2020-04-28 08:00:00,109.698403987,110.18184702,109.698403987,110.18184702,5167
17,2020-04-28 09:00:00,109.637973608,110.406302714,109.637973608,110.406302714,5657
18,2020-04-28 10:00:00,110.932910304,110.932910304,109.38761918,109.448049559,1000922
19,2020-04-28 11:00:00,109.404885003,110.069619173,108.26534071,108.291239444,773622
20,2020-04-28 12:00:00,108.334404,109.448999179,108.239441976,108.955973615,432983
21,2020-04-28 13:00:00,108.973239437,110.199112843,108.766049566,110.043720439,482461
22,2020-04-28 14:00:00,110.052353351,110.374965246,109.681138164,109.739841961,437863
23,2020-04-28 15:00:00,109.719986265,110.096294869,109.301290067,109.448049559,322321
24,2020-04-28 16:00:00,109.465315382,109.801998923,108.59339134,108.99050526,1000878
25,2020-04-28 17:00:00,109.007771082,109.620707785,108.679720453,108.679720453,253744
26,2020-04-28 18:00:00,109.042302728,109.603441963,109.042302728,109.603441963,539
27,2020-04-28 19:00:00,109.085467284,109.620707785,109.085467284,109.568910317,933
28,2020-04-28 20:00:00,109.206328042,109.206328042,109.206328042,109.206328042,174
29,2020-04-29 06:00:00,110.414935626,110.414935626,110.414935626,110.414935626,163
30,2020-04-29 07:00:00,110.501264739,110.501264739,110.501264739,110.501264739,183
31,2020-04-29 08:00:00,109.98329006,110.673922965,109.853796391,110.423568537,8502
32,2020-04-29 09:00:00,110.328606512,111.347290047,110.086884996,111.191897643,2689
33,2020-04-29 10:00:00,111.191897643,111.63217612,110.705951066,110.83794828,888032
34,2020-04-29 11:00:00,110.83794828,111.096935619,110.095517907,110.78727309,559674
35,2020-04-29 12:00:00,110.786150812,111.226429288,110.559105244,111.157365998,544153
36,2020-04-29 13:00:00,111.165998909,111.364555869,110.527163473,111.260960934,526132
37,2020-04-29 14:00:00,111.260960934,111.373188781,110.794783723,111.045138151,456966
38,2020-04-29 15:00:00,111.019239417,111.597644475,110.622125497,110.993340683,656698
39,2020-04-29 16:00:00,110.993340683,111.597644475,110.87679638,111.114201441,1283320
40,2020-04-29 17:00:00,111.096935619,111.796201435,111.096935619,111.381821692,132452
41,2020-04-29 18:00:00,111.796201435,111.796201435,111.373188781,111.744403967,1192
42,2020-04-29 19:00:00,111.571745741,112.132884976,111.217796377,111.494049539,1889
