time,open,high,low,close,volume
2022-02-03 18:30:00,136.355176088,136.355176088,136.355176088,136.355176088,144
2022-02-03 17:30:00,136.720686594,136.720686594,136.720686594,136.720686594,300
2022-02-03 17:15:00,136.62189997,136.720686594,136.108209529,136.572506659,112643
2022-02-03 17:00:00,136.720686594,136.720686594,136.700929269,136.700929269,200
2022-02-03 16:45:00,136.562627996,136.671293282,136.532992009,136.671293282,2233
2022-02-03 16:30:00,136.108209529,136.700929269,136.108209529,136.700929269,13624
2022-02-03 16:15:00,136.108209529,136.325540101,136.108209529,136.325540101,68216
2022-02-03 16:00:00,136.06869488,136.305782776,135.841485647,136.118088192,624420
2022-02-03 15:45:00,136.457716603,136.513234685,136.019301569,136.087464339,289554
2022-02-03 15:30:00,136.424326724,136.730565256,136.345297425,136.453962711,241826
2022-02-03 15:15:00,136.384812075,136.523113347,136.187238828,136.414448062,188295
2022-02-03 15:00:00,136.710807931,136.760201243,136.246510802,136.355373661,207234
2022-02-03 14:45:00,136.868866529,137.04668245,136.592263983,136.681171944,238199
2022-02-03 14:30:00,136.849109204,137.076318437,136.779958568,136.888525067,365019
2022-02-03 14:15:00,136.444084049,137.017046463,136.379872743,136.844169873,453478
2022-02-03 14:00:00,136.093391536,136.51570435,136.088452205,136.448628233,312541
2022-02-03 13:45:00,135.900757621,136.216874815,135.900757621,136.088452205,143955
2022-02-03 13:30:00,135.742699023,135.929405741,135.713063036,135.871121634,132085
2022-02-03 13:15:00,135.68253797,135.782213673,135.392006511,135.732820361,126260
2022-02-03 13:00:00,135.663669725,135.713063036,135.495732465,135.663669725,110649
2022-02-03 12:45:00,135.436460491,135.718002368,135.426581829,135.663669725,101575
2022-02-03 12:30:00,135.189493933,135.535247115,135.031435336,135.406824504,92070
2022-02-03 12:15:00,135.080828648,135.288280556,134.967224031,135.189493933,100283
2022-02-03 12:00:00,135.367309855,135.604397751,135.041313998,135.061071323,216339
2022-02-03 11:45:00,135.658730394,135.752577686,135.169736608,135.367309855,132499
2022-02-03 11:30:00,135.564883102,135.762456348,135.475975141,135.653791062,142951
2022-02-03 11:15:00,135.43152116,135.634033738,135.278401894,135.584640426,136684
2022-02-03 11:00:00,135.377188517,135.614276413,135.296282273,135.446042794,147389
2022-02-03 10:45:00,134.853619414,135.38706718,134.82388464,135.357431193,151913
2022-02-03 10:30:00,134.784468778,134.982042024,134.49798757,134.883255401,157083
2022-02-03 10:15:00,134.952406037,135.169736608,134.517744895,134.827144599,130694
2022-02-03 10:00:00,135.199372595,135.525368452,134.675803492,134.972163362,199665
2022-02-03 09:45:00,135.337673868,135.890878958,134.182858242,135.169736608,371264
2022-02-03 09:30:00,134.79434744,135.564883102,134.79434744,135.564883102,2614
2022-02-03 09:15:00,134.438715596,134.823983427,134.399200947,134.79434744,4441
2022-02-03 09:00:00,134.833862089,134.833862089,134.527623557,134.646167505,666
2022-02-03 08:45:00,134.942527375,134.952406037,134.893134063,134.952406037,3272
2022-02-03 08:15:00,135.041313998,135.070949985,135.041313998,135.070949985,2273
2022-02-03 07:00:00,134.656046168,134.656046168,134.656046168,134.656046168,187
2022-02-03 06:00:00,134.656046168,134.656046168,134.646167505,134.646167505,366
2022-02-02 20:00:00,134.912891388,134.912891388,134.744954128,134.744954128,361
2022-02-02 19:45:00,134.912891388,134.912891388,134.912891388,134.912891388,100
